dataset,N,nnz,F,path,choice,median_ms,mean_ms,min_ms,max_ms,approx_GBps
ogbn-products,2449029,123718280,32,baseline,baseline,13.7139,13.7201,13.6837,13.7636,1177.593
ogbn-products,2449029,123718280,32,chosen,autosage,12.5399,12.5406,12.5225,12.5655,1287.842
ogbn-products,2449029,123718280,64,baseline,baseline,27.5717,27.6471,27.4719,28.5450,1171.448
ogbn-products,2449029,123718280,64,chosen,baseline,27.5512,27.5389,27.4371,27.6521,1172.319
ogbn-products,2449029,123718280,96,baseline,baseline,41.8063,41.8247,41.7495,41.9195,1158.873
ogbn-products,2449029,123718280,96,chosen,baseline,41.8022,41.8176,41.6584,42.0198,1158.987
ogbn-products,2449029,123718280,128,baseline,baseline,56.1705,56.2032,56.0937,56.4029,1150.028
ogbn-products,2449029,123718280,128,chosen,baseline,56.2017,56.2192,56.0271,56.4541,1149.389
ogbn-products,2449029,123718280,192,baseline,baseline,85.2654,85.2484,85.0094,85.3924,1136.410
ogbn-products,2449029,123718280,192,chosen,baseline,85.2045,85.2006,84.9541,85.4753,1137.223
ogbn-products,2449029,123718280,256,baseline,baseline,114.5846,114.5250,114.2733,114.7771,1127.511
ogbn-products,2449029,123718280,256,chosen,baseline,114.4407,114.4898,114.1504,114.8221,1128.928
ogbn-products,2449029,123718280,512,baseline,baseline,232.3359,232.3258,231.7691,233.0143,1112.143
ogbn-products,2449029,123718280,512,chosen,baseline,232.2540,232.2366,231.8858,232.7163,1112.535
